award_id,award_date,vendor_name,award_amount,category,department,country,contract_type,fiscal_year
LC-2022-00938,2022-09-12,Oficentro Internacional,84967.81,Logistics & Transport,HR,Colombia,Framework Agreement,2022.0
LC-2023-00939,2023-06-07,Distribuidora Global S.A.,48657.48,IT & Technology,Operations,USA,Fixed Price,2023.0
LC-2023-00940,2023-08-23,MedEquip Latinoamerica,2108.82,Security,Logistics,Panama,Framework Agreement,2023.0
LC-2022-00941,2022-02-16,DataCenter Solutions,720.21,Medical Supplies,HR,Panama,Spot Purchase,2022.0
LC-2023-00942,2023-10-01,Cleaning Pro Services,18191.07,Catering & Food,Procurement,Costa Rica,Spot Purchase,2023.0
LC-2023-00943,2023-09-11,Mantenimiento Integral,13033.81,Office Supplies,IT,Panama,Fixed Price,2023.0
LC-2022-00944,2022-06-25,Distribuidora Global S.A.,32240.83,IT & Technology,Legal,Panama,Fixed Price,2022.0
LC-2022-00945,2022-11-07,DataCenter Solutions,78429.51,Medical Supplies,Administration,Costa Rica,Spot Purchase,2022.0
LC-2022-00946,2022-05-09,Transportes Rápidos S.A.,987.2,Marketing,Legal,Panama,Fixed Price,2022.0
LC-2023-00947,2023-05-08,Transportes Rápidos S.A.,498.55,Marketing,IT,Panama,Time & Materials,2023.0
LC-2022-00948,2022-11-05,Cleaning Pro Services,1740.87,Catering & Food,Marketing,Panama,Fixed Price,2022.0
LC-2023-00949,2023-05-12,Distribuidora Global S.A.,34382.29,IT & Technology,HR,Costa Rica,Spot Purchase,2023.0
LC-2022-00950,2022-12-08,TechSupplies Panama,,Office Supplies,Administration,Panama,Fixed Price,2022.0
LC-2022-00951,2022-02-07,Publicidad Digital LATAM,3422.57,Marketing,Procurement,Costa Rica,Framework Agreement,2022.0
LC-2023-00952,2023-06-25,Cleaning Pro Services,,Catering & Food,Procurement,Panama,Fixed Price,2023.0
LC-2023-00953,2023-05-22,Oficentro Internacional,8088.13,Logistics & Transport,Legal,USA,Fixed Price,2023.0
LC-2023-00954,2023-04-26,Grupo Logístico del Istmo,205359.53,Maintenance & Repair,HR,Panama,Time & Materials,2023.0
LC-2022-00955,2022-05-15,FleetCars Panama,4344.97,Security,Sales,USA,Spot Purchase,2022.0
LC-2023-00956,2023-09-29,Grupo Logístico del Istmo,138795.24,Maintenance & Repair,Sales,USA,Time & Materials,2023.0
LC-2023-00957,2023-09-13,Ferremax Industrial,54790.41,Professional Services,HR,Panama,Time & Materials,2023.0
LC-2022-00958,2022-01-19,Ferremax Industrial,62824.72,Professional Services,IT,Panama,Fixed Price,2022.0
LC-2022-00959,2022-12-12,TechSupplies Panama,71949.57,Office Supplies,Marketing,Panama,Fixed Price,2022.0
LC-2022-00960,2022-02-17,TechSupplies Panama,62146.53,Office Supplies,Logistics,Panama,Framework Agreement,2022.0
LC-2023-00961,2023-12-25,IT Solutions Group,12888.42,Maintenance & Repair,Marketing,USA,Fixed Price,2023.0
LC-2023-00962,2023-07-30,Publicidad Digital LATAM,36088.47,Marketing,Finance,Panama,Fixed Price,2023.0
LC-2023-00963,2023-12-27,IT Solutions Group,6599.72,Maintenance & Repair,Sales,Panama,Framework Agreement,2023.0
LC-2022-00964,2022-05-06,Distribuidora Global S.A.,85033.83,IT & Technology,Sales,Panama,Time & Materials,2022.0
LC-2022-00965,2022-10-21,Seguridad Total Corp,4295.81,IT & Technology,IT,USA,Framework Agreement,2022.0
LC-2022-00966,2022-06-05,Papelería y Más,42624.13,Uniforms & PPE,Sales,Colombia,Time & Materials,2022.0
LC-2023-00967,2023-04-15,Distribuidora Global S.A.,16128.28,IT & Technology,Legal,Panama,Spot Purchase,2023.0
LC-2023-00968,2023-06-14,Energía Renovable S.A.,73233.68,Catering & Food,Procurement,Panama,Fixed Price,2023.0
LC-2023-00969,2023-02-07,Suministros Médicos del Sur,4627.46,Uniforms & PPE,HR,Panama,Fixed Price,2023.0
LC-2023-00970,2023-03-06,Uniforms & Workwear Co.,574.69,Professional Services,Operations,Colombia,Framework Agreement,2023.0
LC-2022-00971,2022-10-14,Oficentro Internacional,42350.07,Logistics & Transport,Sales,Panama,Fixed Price,2022.0
LC-2023-00972,2023-12-16,Grupo Logístico del Istmo,16038.35,Maintenance & Repair,IT,USA,Spot Purchase,2023.0
LC-2023-00973,2023-07-05,Seguridad Total Corp,17343.37,IT & Technology,Logistics,Panama,Fixed Price,2023.0
LC-2022-00974,2022-04-06,Distribuidora Global S.A.,16594.91,IT & Technology,Marketing,Panama,Time & Materials,2022.0
LC-2022-00975,2022-09-05,DataCenter Solutions,2516.75,Medical Supplies,Operations,Panama,Framework Agreement,2022.0
LC-2023-00976,2023-10-05,Ferremax Industrial,3761.42,Professional Services,Operations,Panama,Framework Agreement,2023.0
LC-2023-00977,2023-04-10,Energía Renovable S.A.,2493.74,Catering & Food,Procurement,Panama,Fixed Price,2023.0
LC-2022-00978,2022-12-25,Cleaning Pro Services,129.56,Catering & Food,Marketing,USA,Time & Materials,2022.0
LC-2023-00979,2023-06-17,Cleaning Pro Services,456.75,Catering & Food,HR,Costa Rica,Spot Purchase,2023.0
LC-2022-00980,2022-05-31,TechSupplies Panama,90445.03,Office Supplies,Sales,Panama,Fixed Price,2022.0
LC-2023-00981,2023-04-02,Distribuidora Global S.A.,93242.62,IT & Technology,HR,USA,Time & Materials,2023.0
LC-2023-00982,2023-10-14,MedEquip Latinoamerica,9303.88,Security,Legal,Panama,Spot Purchase,2023.0
LC-2023-00983,2023-06-02,Ferremax Industrial,11380.18,Professional Services,Legal,Panama,Time & Materials,2023.0
LC-2023-00984,2023-04-12,Transportes Rápidos S.A.,4575.32,Marketing,Marketing,Panama,Time & Materials,2023.0
LC-2022-00985,2022-04-23,Grupo Logístico del Istmo,36158.85,Maintenance & Repair,Finance,USA,Spot Purchase,2022.0
LC-2022-00986,2022-11-07,TechSupplies Panama,9044.95,Office Supplies,Sales,Panama,Framework Agreement,2022.0
LC-2022-00987,2022-10-18,Seguridad Total Corp,46868.33,IT & Technology,Legal,Panama,Framework Agreement,2022.0
LC-2023-00988,2023-03-04,Distribuidora Global S.A.,104071.64,IT & Technology,Sales,Panama,Fixed Price,2023.0
LC-2022-00989,2022-05-22,Oficentro Internacional,27857.1,Logistics & Transport,Legal,USA,Time & Materials,2022.0
LC-2023-00990,2023-02-01,Ferremax Industrial,37506.26,Professional Services,Sales,Panama,Spot Purchase,2023.0
LC-2023-00991,2023-10-24,Consultoría Estratégica,6718.19,Medical Supplies,Procurement,Costa Rica,Framework Agreement,2023.0
LC-2023-00992,2023-10-22,DataCenter Solutions,229.84,Medical Supplies,Logistics,USA,Fixed Price,2023.0
LC-2023-00993,2023-05-03,CLEANING PRO SERVICES,3392.2,Catering & Food,Operations,USA,Time & Materials,2023.0
LC-2022-00994,2022-09-09,MedEquip Latinoamerica,1766.97,Security,Operations,Panama,Time & Materials,2022.0
LC-2023-00995,2023-02-16,Distribuidora Global S.A.,10916.78,IT & Technology,Marketing,USA,Framework Agreement,2023.0
LC-2023-00996,2023-06-25,Oficentro Internacional,25917.65,Logistics & Transport,HR,Panama,Fixed Price,2023.0
LC-2022-00997,2022-07-07,Distribuidora Global S.A.,314023.73,IT & Technology,HR,Panama,Time & Materials,2022.0
LC-2022-00998,2022-07-05,Grupo Logístico del Istmo,,Maintenance & Repair,HR,Panama,Framework Agreement,2022.0
LC-2023-00999,2023-01-20,Oficentro Internacional,18298.7,Logistics & Transport,Legal,Panama,Framework Agreement,2023.0
LC-2023-01000,2023-05-20,TechSupplies Panama,72193.07,Office Supplies,Administration,USA,Time & Materials,2023.0
LC-2022-01001,2022-03-09,Oficentro Internacional,194702.21,Logistics & Transport,Sales,Panama,Spot Purchase,2022.0
LC-2022-01002,2022-09-10,Uniforms & Workwear Co.,19671.98,Professional Services,Logistics,USA,Fixed Price,2022.0
LC-2022-01003,2022-05-26,MedEquip Latinoamerica,5374.63,Security,Procurement,Panama,Time & Materials,2022.0
LC-2022-01004,2022-02-12,MedEquip Latinoamerica,,Security,Legal,USA,Spot Purchase,2022.0
LC-2023-01005,2023-05-09,Oficentro Internacional,83940.88,Logistics & Transport,HR,Panama,Fixed Price,2023.0
LC-2022-01006,2022-02-16,Suministros Médicos del Sur,8868.21,Uniforms & PPE,IT,USA,Framework Agreement,2022.0
LC-2023-01007,2023-03-19,Distribuidora Global S.A.,106322.46,IT & Technology,Finance,Panama,Framework Agreement,2023.0
LC-2023-01008,2023-12-26,Uniforms & Workwear Co.,12743.26,Professional Services,Sales,Colombia,Framework Agreement,2023.0
LC-2022-01009,2022-01-17,Oficentro Internacional,127958.75,Logistics & Transport,Procurement,USA,Framework Agreement,2022.0
LC-2023-01010,2023-02-28,Cleaning Pro Services,2202.06,Catering & Food,Operations,Panama,Time & Materials,2023.0
LC-2023-01011,2023-07-06,Grupo Logístico del Istmo,176464.13,Maintenance & Repair,Finance,Colombia,Fixed Price,2023.0
LC-2023-01012,2023-02-01,DataCenter Solutions,6610.4,Medical Supplies,Sales,Panama,Framework Agreement,2023.0
LC-2023-01013,2023-04-01,Distribuidora Global S.A.,,IT & Technology,Procurement,Panama,Time & Materials,2023.0
LC-2023-01014,2023-09-21,Transportes Rápidos S.A.,1747.98,Marketing,Sales,Panama,Fixed Price,2023.0
LC-2023-01015,2023-05-20,Publicidad Digital LATAM,66432.77,Marketing,Sales,Panama,Framework Agreement,2023.0
LC-2023-01016,2023-08-06,TechSupplies Panama,46050.46,Office Supplies,Legal,Panama,Framework Agreement,2023.0
LC-2022-01017,2022-03-08,Papelería y Más,1849.87,Uniforms & PPE,Administration,USA,Time & Materials,2022.0
LC-2022-01018,2022-07-16,Energía Renovable S.A.,2378.37,Catering & Food,IT,USA,Framework Agreement,2022.0
LC-2022-01019,2022-01-03,Transportes Rápidos S.A.,3039.59,Marketing,Administration,Panama,Spot Purchase,2022.0
LC-2022-01020,2022-10-08,Distribuidora Global S.A.,60415.39,IT & Technology,Sales,Panama,Spot Purchase,2022.0
LC-2022-01021,2022-02-18,MedEquip Latinoamerica,10767.13,Security,Operations,Costa Rica,Time & Materials,2022.0
LC-2023-01022,2023-08-09,Distribuidora Global S.A.,18243.42,IT & Technology,IT,Panama,Fixed Price,2023.0
LC-2022-01023,2022-06-18,Transportes Rápidos S.A.,4738.46,Marketing,Finance,Panama,Time & Materials,2022.0
LC-2022-01024,2022-09-14,Distribuidora Global S.A.,474835.84,IT & Technology,Legal,Panama,Framework Agreement,2022.0
LC-2022-01025,2022-03-16,Catering Express Panama,65598.94,Logistics & Transport,Sales,USA,Time & Materials,2022.0
LC-2022-01026,2022-03-04,Cleaning Pro Services,9456.76,Catering & Food,Administration,Panama,Fixed Price,2022.0
LC-2022-01027,2022-02-26,Transportes Rápidos S.A.,5203.08,Marketing,HR,Panama,Spot Purchase,2022.0
LC-2023-01028,2023-01-26,Transportes Rápidos S.A.,5884.32,Marketing,Marketing,Panama,Framework Agreement,2023.0
LC-2023-01029,2023-01-29,IT Solutions Group,12336.0,Maintenance & Repair,Administration,Panama,Spot Purchase,2023.0
LC-2023-01030,2023-08-25,Distribuidora Global S.A.,10642.91,IT & Technology,Operations,Panama,Framework Agreement,2023.0
LC-2023-01031,2023-10-15,Distribuidora Global S.A.,26666.09,IT & Technology,IT,USA,Time & Materials,2023.0
LC-2022-01032,2022-02-15,Cleaning Pro Services,402.27,Catering & Food,HR,Panama,Time & Materials,2022.0
LC-2022-01033,2022-05-31,Consultoría Estratégica,8944.86,Medical Supplies,Sales,Panama,Time & Materials,2022.0
LC-2022-01034,2022-02-28,Publicidad Digital LATAM,12975.18,Marketing,Marketing,USA,Time & Materials,2022.0
LC-2023-01035,2023-10-18,Distribuidora Global S.A.,20336.57,IT & Technology,Sales,Panama,Time & Materials,2023.0
LC-2023-01036,2023-08-16,DataCenter Solutions,52103.12,Medical Supplies,Procurement,USA,Framework Agreement,2023.0
LC-2023-01037,2023-05-23,OFICENTRO INTERNACIONAL,8342.19,Logistics & Transport,Finance,Panama,Fixed Price,2023.0
LC-2023-01038,2023-05-08,TechSupplies Panama,6265.1,Office Supplies,Administration,Panama,Time & Materials,2023.0
LC-2022-01039,2022-01-07,Papelería y Más,6882.09,Uniforms & PPE,IT,Panama,Time & Materials,2022.0
LC-2023-01040,2023-10-09,Distribuidora Global S.A.,127582.43,IT & Technology,Logistics,Panama,Time & Materials,2023.0
LC-2022-01041,2022-08-13,Distribuidora Global S.A.,273953.38,IT & Technology,IT,Panama,Time & Materials,2022.0
LC-2022-01042,2022-06-30,MedEquip Latinoamerica,2469.26,Security,HR,Panama,Fixed Price,2022.0
LC-2022-01043,2022-12-13,Transportes Rápidos S.A.,24785.68,Marketing,Legal,Colombia,Fixed Price,2022.0
LC-2023-01044,2023-12-30,Mantenimiento Integral,4638.92,Office Supplies,HR,USA,Spot Purchase,2023.0
LC-2023-01045,2023-12-13,Mantenimiento Integral,3793.56,Office Supplies,IT,USA,Spot Purchase,2023.0
LC-2023-01046,2023-07-03,TechSupplies Panama,104861.1,Office Supplies,Operations,Mexico,Time & Materials,2023.0
LC-2022-01047,2022-08-03,DataCenter Solutions,13075.35,Medical Supplies,Logistics,Panama,Spot Purchase,2022.0
LC-2023-01048,2023-10-23,Cleaning Pro Services,461.93,Catering & Food,HR,USA,Spot Purchase,2023.0
LC-2023-01049,2023-05-22,TechSupplies Panama,213597.44,Office Supplies,Sales,USA,Spot Purchase,2023.0
LC-2022-01050,2022-07-27,Seguridad Total Corp,38954.01,IT & Technology,Operations,Panama,Time & Materials,2022.0
LC-2023-01051,2023-01-19,Grupo Logístico del Istmo,17142.65,Maintenance & Repair,Legal,USA,Time & Materials,2023.0
LC-2023-01052,2023-08-21,Oficentro Internacional,58393.76,Logistics & Transport,Marketing,Panama,Time & Materials,2023.0
LC-2023-01053,2023-05-25,Ferremax Industrial,65698.82,Professional Services,Legal,Panama,Framework Agreement,2023.0
LC-2022-01054,2022-10-29,TechSupplies Panama,49652.72,Office Supplies,Finance,Panama,Fixed Price,2022.0
LC-2022-01055,2022-03-15,Seguridad Total Corp,2152.84,IT & Technology,IT,Panama,Fixed Price,2022.0
LC-2022-01056,2022-07-15,Transportes Rápidos S.A.,1794.65,Marketing,Logistics,Panama,Framework Agreement,2022.0
LC-2022-01057,2022-11-03,Papelería y Más,4729.95,Uniforms & PPE,Marketing,Panama,Fixed Price,2022.0
LC-2023-01058,2023-04-29,Consultoría Estratégica,28540.9,Medical Supplies,Administration,Costa Rica,Fixed Price,2023.0
LC-2023-01059,2023-05-01,IT Solutions Group,11107.77,Maintenance & Repair,IT,Panama,Time & Materials,2023.0
LC-2022-01060,2022-11-17,Ferremax Industrial,23277.97,Professional Services,Procurement,Panama,Fixed Price,2022.0
LC-2023-01061,2023-01-19,Grupo Logístico del Istmo,91678.07,Maintenance & Repair,Procurement,Panama,Fixed Price,2023.0
LC-2022-01062,2022-12-14,Papelería y Más,68.52,Uniforms & PPE,Procurement,Colombia,Framework Agreement,2022.0
LC-2023-01063,2023-08-25,Seguridad Total Corp,,IT & Technology,Marketing,Panama,Framework Agreement,2023.0
LC-2023-01064,2023-01-26,TechSupplies Panama,4502.3,Office Supplies,Sales,USA,Spot Purchase,2023.0
LC-2023-01065,2023-10-17,TechSupplies Panama,23507.41,Office Supplies,Finance,Panama,Spot Purchase,2023.0
LC-2022-01066,2022-01-28,MedEquip Latinoamerica,916.44,Security,Operations,Colombia,Spot Purchase,2022.0
LC-2023-01067,2023-04-11,Oficentro Internacional,7680.06,Logistics & Transport,IT,Panama,Fixed Price,2023.0
LC-2022-01068,2022-04-24,IT Solutions Group,28035.87,Maintenance & Repair,Legal,Panama,Time & Materials,2022.0
LC-2022-01069,2022-11-14,Grupo Logístico del Istmo,20718.01,Maintenance & Repair,IT,Panama,Time & Materials,2022.0
LC-2023-01070,2023-05-30,Cleaning Pro Services,8264.76,Catering & Food,Logistics,USA,Time & Materials,2023.0
LC-2023-01071,2023-09-12,Suministros Médicos del Sur,4580.76,Uniforms & PPE,Procurement,Panama,Spot Purchase,2023.0
LC-2022-01072,2022-04-04,Uniforms & Workwear Co.,10052.35,Professional Services,Procurement,Panama,Fixed Price,2022.0
LC-2023-01073,2023-03-02,Transportes Rápidos S.A.,5515.03,Marketing,Logistics,Panama,Time & Materials,2023.0
LC-2023-01074,2023-02-07,Ferremax Industrial,7788.54,Professional Services,HR,Colombia,Fixed Price,2023.0
LC-2023-01075,2023-12-16,TechSupplies Panama,120032.78,Office Supplies,Marketing,Panama,Fixed Price,2023.0
LC-2022-01076,2022-03-20,Grupo Logístico del Istmo,20080.25,Maintenance & Repair,Marketing,Panama,Framework Agreement,2022.0
LC-2023-01077,2023-06-03,Grupo Logístico del Istmo,5608.85,Maintenance & Repair,HR,Panama,Time & Materials,2023.0
LC-2023-01078,,Transportes Rápidos S.A.,2585.9,Marketing,Procurement,Panama,Framework Agreement,
LC-2023-01079,2023-05-12,Distribuidora Global S.A.,219896.39,IT & Technology,HR,Panama,Spot Purchase,2023.0
LC-2022-01080,2022-10-13,Transportes Rápidos S.A.,17594.34,Marketing,Procurement,Panama,Spot Purchase,2022.0
LC-2022-01081,2022-06-22,Distribuidora Global S.A.,23899.61,IT & Technology,Logistics,Panama,Spot Purchase,2022.0
LC-2022-01082,2022-02-05,TechSupplies Panama,23882.25,Office Supplies,Sales,Panama,Time & Materials,2022.0
LC-2023-01083,2023-02-04,Distribuidora Global S.A.,24687.14,IT & Technology,Marketing,Colombia,Fixed Price,2023.0
LC-2022-01084,2022-09-13,Distribuidora Global S.A.,438931.03,IT & Technology,Legal,Mexico,Time & Materials,2022.0
LC-2023-01085,2023-11-28,Grupo Logístico del Istmo,57430.03,Maintenance & Repair,Operations,Panama,Time & Materials,2023.0
LC-2022-01086,2022-02-15,Mantenimiento Integral,9368.07,Office Supplies,HR,Costa Rica,Time & Materials,2022.0
LC-2023-01087,2023-07-09,MedEquip Latinoamerica,23050.1,Security,IT,USA,Time & Materials,2023.0
LC-2023-01088,2023-02-16,DISTRIBUIDORA GLOBAL S.A.,48365.74,IT & Technology,Sales,Panama,Fixed Price,2023.0
LC-2022-01089,2022-02-14,TechSupplies Panama,26612.85,Office Supplies,Logistics,Colombia,Framework Agreement,2022.0
LC-2022-01090,2022-09-15,Cleaning Pro Services,3660.94,Catering & Food,Finance,Costa Rica,Time & Materials,2022.0
LC-2023-01091,2023-10-13,Transportes Rápidos S.A.,4414.27,Marketing,HR,Panama,Time & Materials,2023.0
LC-2023-01092,2023-09-16,DataCenter Solutions,4647.88,Medical Supplies,Finance,Panama,Fixed Price,2023.0
LC-2022-01093,2022-08-27,Papelería y Más,,Uniforms & PPE,Marketing,USA,Fixed Price,2022.0
LC-2023-01094,2023-09-27,TechSupplies Panama,38651.28,Office Supplies,Legal,Costa Rica,Time & Materials,2023.0
LC-2022-01095,2022-09-01,TechSupplies Panama,87480.23,Office Supplies,Legal,Panama,Fixed Price,2022.0
LC-2022-01096,2022-11-22,Papelería y Más,4354.33,Uniforms & PPE,Sales,Panama,Framework Agreement,2022.0
LC-2022-01097,2022-08-23,Publicidad Digital LATAM,5530.05,Marketing,Logistics,Costa Rica,Fixed Price,2022.0
LC-2023-01098,2023-09-15,MedEquip Latinoamerica,245.35,Security,IT,Colombia,Time & Materials,2023.0
LC-2022-01099,2022-07-17,DataCenter Solutions,19428.41,Medical Supplies,Finance,USA,Fixed Price,2022.0
LC-2022-01100,2022-08-30,Distribuidora Global S.A.,55038.39,IT & Technology,HR,USA,Time & Materials,2022.0
LC-2022-01101,2022-06-30,TechSupplies Panama,120284.15,Office Supplies,IT,Panama,Spot Purchase,2022.0
LC-2022-01102,2022-03-23,Publicidad Digital LATAM,63.79,Marketing,IT,Panama,Spot Purchase,2022.0
LC-2022-01103,2022-06-09,Ferremax Industrial,445097.95,Professional Services,Legal,USA,Spot Purchase,2022.0
LC-2023-01104,2023-09-02,Grupo Logístico del Istmo,30714.57,Maintenance & Repair,Finance,Mexico,Framework Agreement,2023.0
LC-2023-01105,2023-01-20,Grupo Logístico del Istmo,137285.69,Maintenance & Repair,Logistics,Panama,Framework Agreement,2023.0
LC-2022-01106,2022-01-05,Transportes Rápidos S.A.,,Marketing,IT,Panama,Time & Materials,2022.0
LC-2023-01107,2023-01-29,Ferremax Industrial,75760.22,Professional Services,Legal,Panama,Framework Agreement,2023.0
LC-2023-01108,2023-08-03,Grupo Logístico del Istmo,10258.9,Maintenance & Repair,Operations,Panama,Spot Purchase,2023.0
LC-2023-01109,2023-10-13,Seguridad Total Corp,1928.21,IT & Technology,Sales,USA,Spot Purchase,2023.0
LC-2022-01110,2022-02-05,Energía Renovable S.A.,86772.67,Catering & Food,IT,Panama,Spot Purchase,2022.0
LC-2023-01111,2023-11-29,Distribuidora Global S.A.,28887.99,IT & Technology,HR,Panama,Spot Purchase,2023.0
LC-2022-01112,2022-04-05,DataCenter Solutions,6810.01,Medical Supplies,HR,Panama,Fixed Price,2022.0
LC-2023-01113,2023-03-10,Cleaning Pro Services,18125.98,Catering & Food,Finance,USA,Time & Materials,2023.0
LC-2023-01114,2023-08-24,Ferremax Industrial,65829.17,Professional Services,Marketing,Colombia,Spot Purchase,2023.0
LC-2022-01115,2022-05-27,Papelería y Más,6158.75,Uniforms & PPE,Finance,Panama,Framework Agreement,2022.0
LC-2022-01116,2022-01-02,Transportes Rápidos S.A.,8496.77,Marketing,Operations,Panama,Spot Purchase,2022.0
LC-2022-01117,2022-06-24,Grupo Logístico del Istmo,500000.0,Maintenance & Repair,Logistics,Costa Rica,Spot Purchase,2022.0
LC-2023-01118,2023-08-04,Ferremax Industrial,33889.4,Professional Services,Marketing,Panama,Spot Purchase,2023.0
LC-2023-01119,2023-03-28,TechSupplies Panama,46226.98,Office Supplies,IT,Panama,Spot Purchase,2023.0
LC-2022-01120,2022-05-08,TechSupplies Panama,128128.03,Office Supplies,Logistics,Panama,Spot Purchase,2022.0
LC-2022-01121,2022-09-30,FERREMAX INDUSTRIAL,136848.69,Professional Services,Finance,Panama,Fixed Price,2022.0
LC-2023-01122,2023-01-20,Suministros Médicos del Sur,29159.77,Uniforms & PPE,Finance,Panama,Fixed Price,2023.0
LC-2023-01123,2023-09-11,Energía Renovable S.A.,12811.46,Catering & Food,Procurement,Costa Rica,Framework Agreement,2023.0
LC-2023-01124,2023-01-23,Suministros Médicos del Sur,884.92,Uniforms & PPE,IT,Panama,Spot Purchase,2023.0
LC-2022-01125,2022-05-23,Mantenimiento Integral,,Office Supplies,Operations,Panama,Spot Purchase,2022.0
LC-2023-01126,2023-09-26,Consultoría Estratégica,880.49,Medical Supplies,IT,Panama,Spot Purchase,2023.0
LC-2022-01127,2022-01-18,DataCenter Solutions,7738.42,Medical Supplies,Operations,Colombia,Framework Agreement,2022.0
LC-2023-01128,2023-02-14,Papelería y Más,1585.39,Uniforms & PPE,Procurement,Panama,Spot Purchase,2023.0
LC-2023-01129,2023-01-30,Energía Renovable S.A.,4463.96,Catering & Food,Procurement,Colombia,Fixed Price,2023.0
LC-2022-01130,2022-05-11,MedEquip Latinoamerica,8047.72,Security,Administration,Costa Rica,Fixed Price,2022.0
LC-2022-01131,2022-04-29,Suministros Médicos del Sur,7958.82,Uniforms & PPE,Procurement,Panama,Spot Purchase,2022.0
LC-2022-01132,2022-01-30,TechSupplies Panama,60252.84,Office Supplies,Finance,Panama,Spot Purchase,2022.0
LC-2023-01133,2023-11-13,Seguridad Total Corp,55302.14,IT & Technology,IT,Costa Rica,Framework Agreement,2023.0
LC-2022-01134,2022-04-03,Distribuidora Global S.A.,62582.51,IT & Technology,Marketing,Colombia,Spot Purchase,2022.0
LC-2023-01135,2023-01-22,Cleaning Pro Services,3407.61,Catering & Food,Administration,Panama,Framework Agreement,2023.0
LC-2022-01136,2022-08-17,DataCenter Solutions,20871.31,Medical Supplies,Marketing,Panama,Time & Materials,2022.0
LC-2023-01137,2023-08-10,Oficentro Internacional,151352.16,Logistics & Transport,Administration,Panama,Fixed Price,2023.0
LC-2023-01138,2023-08-28,Cleaning Pro Services,779.45,Catering & Food,Operations,Panama,Fixed Price,2023.0
LC-2023-01139,2023-06-17,Oficentro Internacional,74375.37,Logistics & Transport,Sales,Colombia,Time & Materials,2023.0
LC-2022-01140,2022-10-31,Distribuidora Global S.A.,84238.5,IT & Technology,Procurement,Panama,Time & Materials,2022.0
LC-2023-01141,2023-09-06,Cleaning Pro Services,3145.27,Catering & Food,HR,Costa Rica,Fixed Price,2023.0
LC-2023-01142,2023-05-22,Oficentro Internacional,189254.54,Logistics & Transport,Administration,USA,Time & Materials,2023.0
LC-2022-01143,2022-08-19,Mantenimiento Integral,3924.2,Office Supplies,HR,Costa Rica,Time & Materials,2022.0
LC-2022-01144,2022-11-03,TechSupplies Panama,42221.79,Office Supplies,Procurement,Costa Rica,Spot Purchase,2022.0
LC-2023-01145,2023-03-09,Suministros Médicos del Sur,3791.03,Uniforms & PPE,Marketing,Panama,Framework Agreement,2023.0
LC-2022-01146,2022-10-17,Grupo Logístico del Istmo,37000.8,Maintenance & Repair,Marketing,Costa Rica,Framework Agreement,2022.0
LC-2023-01147,2023-12-28,Grupo Logístico del Istmo,9744.61,Maintenance & Repair,HR,Panama,Fixed Price,2023.0
LC-2022-01148,2022-08-03,Ferremax Industrial,6450.67,Professional Services,Procurement,Panama,Time & Materials,2022.0
LC-2023-01149,2023-01-21,Distribuidora Global S.A.,246078.55,IT & Technology,Administration,Panama,Time & Materials,2023.0
LC-2022-01150,2022-07-03,Energía Renovable S.A.,1379.61,Catering & Food,Finance,Panama,Spot Purchase,2022.0
LC-2022-01151,2022-09-08,Oficentro Internacional,11051.59,Logistics & Transport,Legal,Panama,Spot Purchase,2022.0
LC-2023-01152,2023-12-10,Transportes Rápidos S.A.,194.4,Marketing,HR,Colombia,Spot Purchase,2023.0
LC-2023-01153,2023-01-12,Ferremax Industrial,,Professional Services,Legal,Panama,Spot Purchase,2023.0
LC-2023-01154,2023-08-24,DataCenter Solutions,675.44,Medical Supplies,Marketing,Panama,Fixed Price,2023.0
LC-2023-01155,2023-05-11,Papelería y Más,57700.59,Uniforms & PPE,Administration,Panama,Spot Purchase,2023.0
LC-2023-01156,2023-02-20,DISTRIBUIDORA GLOBAL S.A.,122000.51,IT & Technology,Sales,Panama,Time & Materials,2023.0
LC-2023-01157,2023-06-16,MedEquip Latinoamerica,1750.71,Security,Marketing,USA,Fixed Price,2023.0
LC-2022-01158,,DataCenter Solutions,144156.34,Medical Supplies,IT,Colombia,Fixed Price,
LC-2022-01159,2022-05-12,Ferremax Industrial,117962.09,Professional Services,Sales,Panama,Fixed Price,2022.0
LC-2023-01160,2023-06-03,Oficentro Internacional,24592.64,Logistics & Transport,Operations,Panama,Fixed Price,2023.0
LC-2022-01161,2022-02-17,Publicidad Digital LATAM,115.69,Marketing,Operations,Panama,Framework Agreement,2022.0
LC-2023-01162,2023-12-13,DataCenter Solutions,152728.0,Medical Supplies,Procurement,Panama,Spot Purchase,2023.0
LC-2023-01163,2023-11-10,Cleaning Pro Services,611.33,Catering & Food,Marketing,Panama,Fixed Price,2023.0
LC-2023-01164,2023-08-29,Oficentro Internacional,5041.82,Logistics & Transport,IT,Panama,Time & Materials,2023.0
LC-2023-01165,2023-10-28,Distribuidora Global S.A.,123881.97,IT & Technology,Logistics,Panama,Spot Purchase,2023.0
LC-2023-01166,2023-07-03,Oficentro Internacional,500000.0,Logistics & Transport,Legal,Colombia,Time & Materials,2023.0
LC-2023-01167,2023-08-01,DataCenter Solutions,39199.11,Medical Supplies,IT,Costa Rica,Framework Agreement,2023.0
LC-2023-01168,2023-01-24,Grupo Logístico del Istmo,,Maintenance & Repair,HR,Panama,Spot Purchase,2023.0
